timestamp,Real,Prediccion,Señal,Movimiento Real
2025-01-02 16:15:00,2.2830000000000003e-05,2.3031787437200548e-05,1,1
2025-01-02 16:30:00,2.28e-05,2.3079226948022844e-05,1,-1
2025-01-02 16:45:00,2.2769999999999997e-05,2.3102129078507424e-05,1,-1
2025-01-02 17:00:00,2.285e-05,2.309516015172005e-05,1,1
2025-01-02 17:15:00,2.2769999999999997e-05,2.3098135911822322e-05,1,-1
2025-01-02 17:30:00,2.259e-05,2.3091266875863076e-05,1,-1
2025-01-02 17:45:00,2.262e-05,2.3032617394328118e-05,1,1
2025-01-02 18:00:00,2.263e-05,2.2956337798237802e-05,1,1
2025-01-02 18:15:00,2.271e-05,2.292216650247574e-05,1,1
2025-01-02 18:30:00,2.2779999999999995e-05,2.292831657111645e-05,1,1
2025-01-02 18:45:00,2.289e-05,2.2967811678051952e-05,1,1
2025-01-02 19:00:00,2.285e-05,2.3024433745741847e-05,1,-1
2025-01-02 19:15:00,2.293e-05,2.307276117503643e-05,1,1
2025-01-02 19:30:00,2.288e-05,2.3091166985034944e-05,1,-1
2025-01-02 19:45:00,2.281e-05,2.310260263502598e-05,1,-1
2025-01-02 20:00:00,2.285e-05,2.3076554560065272e-05,1,1
2025-01-02 20:15:00,2.282e-05,2.3056861268281937e-05,1,-1
2025-01-02 20:30:00,2.273e-05,2.3049476746320728e-05,1,-1
2025-01-02 20:45:00,2.272e-05,2.3023205458521845e-05,1,-1
2025-01-02 21:00:00,2.2700000000000003e-05,2.2985006465911866e-05,1,-1
2025-01-02 21:15:00,2.2769999999999997e-05,2.2959629262685777e-05,1,1
2025-01-02 21:30:00,2.271e-05,2.2960081854462624e-05,1,-1
2025-01-02 21:45:00,2.271e-05,2.2962489100098612e-05,1,-1
2025-01-02 22:00:00,2.263e-05,2.2946692783832553e-05,1,-1
2025-01-02 22:15:00,2.259e-05,2.291852357029915e-05,1,-1
2025-01-02 22:30:00,2.271e-05,2.2867780262827876e-05,1,1
2025-01-02 22:45:00,2.275e-05,2.2873041179776192e-05,1,1
2025-01-02 23:00:00,2.284e-05,2.291916607797146e-05,1,1
